-485,512,10328,-553,-240,547
-504,526,10302,57,-240,-62
-490,512,10339,57,-240,-62
-490,505,10323,57,-240,-62
-516,507,10292,-553,369,-62
-497,507,10311,-553,-240,-62
-492,512,10330,57,-240,-62
-480,517,10328,666,369,-62
-490,519,10335,57,-240,-62
-480,528,10299,-553,-240,-672
-478,500,10339,57,-850,-62
-490,507,10311,-553,-850,-62
-502,519,10342,-553,-850,-62
-485,528,10309,57,-240,-62
-506,517,10306,-553,-240,-62
-494,521,10323,-553,-240,-672
-494,505,10325,57,-240,-62
-468,500,10325,-553,-240,-62
-499,536,10320,57,-240,-672
-497,519,10318,57,-850,-62
-487,512,10323,-553,-850,-62
-478,521,10316,57,-240,-672
-485,519,10332,57,-240,-62
-499,521,10320,57,-240,-62
-499,505,10309,666,-850,547
-473,505,10313,57,-850,547
-485,507,10344,57,-240,-62
-506,526,10269,1276,-240,-672
-483,514,10455,-553,-850,-62
-459,497,10231,-553,-240,-62
-540,526,10377,57,369,-62
-475,512,10271,-1163,-1460,-62
-461,481,10346,666,-240,-62
-509,512,10311,-553,369,-62
-509,528,10335,666,-240,-62
-466,481,10368,-553,-240,1157
-473,497,10323,57,-240,-62
-504,505,10318,-553,369,547
-487,595,10292,57,369,-672
-442,567,10318,57,-240,-672
-487,419,10320,-553,979,-672
-516,490,10323,57,979,-62
-475,564,10316,57,-850,547
-487,488,10358,-553,-850,1157
-523,533,10323,57,-850,547
-506,512,10325,57,-240,-62
-483,488,10323,57,-240,547
-492,497,10313,-553,-850,-62
-504,528,10332,57,-850,-62
-494,533,10299,57,-850,-672
-499,519,10337,57,-240,-62
-490,521,10335,57,369,-62
-502,507,10332,57,-240,-62
-478,526,10299,-553,-850,-62
-468,509,10320,-553,-240,-62
-492,521,10311,-553,-850,-62
-492,521,10318,57,-850,-62
-494,497,10316,-553,-240,547
-471,524,10320,-553,369,547
-497,524,10330,57,369,-62
-494,505,10332,-553,-240,-62
-480,500,10344,57,-240,-672
-487,495,10325,57,-240,-62
-485,512,10313,57,-240,-672
-473,478,10316,57,-240,-672
-485,507,10316,-553,-240,547
-509,526,10288,57,-240,-62
-492,517,10335,-553,-240,547
-483,497,10290,-553,-850,547
-485,519,10313,57,-850,-62
-490,526,10320,-553,-850,547
-466,509,10309,-553,-240,-62
