0.018548, 0.070853	 0.032677, 0.070853	 1.670589, -0.012930
0.018561, -0.012930	 0.032623, -0.012930	 1.657671, 0.003354
0.018697, 0.003354	 0.032691, 0.003354	 1.661037, 0.019616
0.019601, 0.019616	 0.033048, 0.019616	 1.661431, 0.051267
0.019761, 0.051267	 0.033033, 0.051267	 1.692711, -0.032426
0.019871, -0.032426	 0.032972, -0.032426	 1.660296, -0.016502
0.020102, -0.016502	 0.033033, -0.016502	 1.643806, -0.000590
0.020338, -0.000590	 0.033082, -0.000590	 1.643227, 0.015281
0.020549, 0.015281	 0.033108, 0.015281	 1.658520, 0.031130
0.020739, 0.031130	 0.033110, 0.031130	 1.669662, -0.052977
0.022253, -0.052977	 0.033063, -0.052977	 1.617438, 0.074506
0.022593, 0.074506	 0.033222, 0.074506	 1.671955, -0.009693
0.022738, -0.009693	 0.033191, -0.009693	 1.662274, 0.005632
0.023005, 0.005632	 0.033300, 0.005632	 1.667916, 0.020895
0.023255, 0.020895	 0.033390, 0.020895	 1.668823, -0.063482
0.023482, -0.063482	 0.033456, -0.063482	 1.605353, -0.047869
0.023834, -0.047869	 0.033648, -0.047869	 1.557496, -0.032246
0.026468, -0.032246	 0.035135, -0.032246	 1.525978, 0.090867
0.026792, 0.090867	 0.035309, 0.090867	 1.616857, 0.106496
0.026926, 0.106496	 0.035297, 0.106496	 1.703364, 0.021763
0.027029, 0.021763	 0.035245, 0.021763	 1.705138, -0.062946
0.027257, -0.062946	 0.035317, -0.062946	 1.642203, -0.047666
0.027610, -0.047666	 0.035515, -0.047666	 1.594549, -0.032375
0.027925, -0.032375	 0.035662, -0.032375	 1.562185, -0.017176
0.030263, -0.017176	 0.036661, -0.017176	 1.545727, 0.104511
0.030470, 0.104511	 0.036726, 0.104511	 1.650249, 0.119748
0.030458, 0.119748	 0.036616, 0.119748	 1.750008, 0.034686
0.030423, 0.034686	 0.036483, 0.034686	 1.764705, -0.050412
0.030512, -0.050412	 0.036474, -0.050412	 1.694304, -0.135479
0.030724, -0.135479	 0.036588, -0.135479	 1.558835, -0.120546
0.031018, -0.120546	 0.036834, -0.120546	 1.438300, -0.105595
0.033235, -0.105595	 0.038655, -0.105595	 1.333421, 0.015937
0.033383, 0.015937	 0.038890, 0.015937	 1.349369, 0.030969
0.033306, 0.030969	 0.038959, 0.030969	 1.380349, 0.045990
0.033206, 0.045990	 0.039007, 0.045990	 1.426350, 0.061325
0.033083, 0.061325	 0.039033, 0.061325	 1.487686, 0.076670
0.032938, 0.076670	 0.039037, 0.076670	 1.564367, 0.092025
0.032725, 0.092025	 0.039018, 0.092025	 1.656403, 0.107493
0.030818, 0.107493	 0.038685, 0.107493	 1.744637, 0.132386
0.030498, 0.132386	 0.038590, 0.132386	 1.857036, 0.048822
0.030139, 0.048822	 0.038433, 0.048822	 1.885870, -0.034990
0.029906, -0.034990	 0.038401, -0.034990	 1.830892, -0.118813
0.029799, -0.118813	 0.038495, -0.118813	 1.692091, -0.202636
0.029801, -0.202636	 0.038684, -0.202636	 1.489468, -0.186340
0.029928, -0.186340	 0.038998, -0.186340	 1.303140, -0.170055
0.030742, -0.170055	 0.041289, -0.170055	 1.133848, -0.041232
0.030747, -0.041232	 0.041505, -0.041232	 1.092629, -0.024380
0.030557, -0.024380	 0.041524, -0.024380	 1.068261, -0.007682
0.030342, -0.007682	 0.041517, -0.007682	 1.060592, 0.008993
0.030075, 0.008993	 0.041490, 0.008993	 1.069598, 0.025680
0.029783, 0.025680	 0.041438, 0.025680	 1.095290, 0.042373
0.029465, 0.042373	 0.041361, 0.042373	 1.137676, 0.059099
0.026769, 0.059099	 0.040555, 0.059099	 1.197555, 0.190538
0.026398, 0.190538	 0.040479, 0.190538	 1.388107, 0.207827
0.025840, 0.207827	 0.040209, 0.207827	 1.595946, 0.224666
0.025255, 0.224666	 0.039913, 0.224666	 1.800625, 0.141516
0.024669, 0.141516	 0.039605, 0.141516	 1.922154, 0.058381
0.024208, 0.058381	 0.039421, 0.058381	 1.960548, -0.024733
0.023871, -0.024733	 0.039363, -0.024733	 1.915828, -0.107857
0.022459, -0.107857	 0.039934, -0.107857	 1.788764, -0.073979
0.022480, -0.073979	 0.040113, -0.073979	 1.694798, -0.156623
0.022450, -0.156623	 0.040237, -0.156623	 1.538188, -0.139630
0.022582, -0.139630	 0.040459, -0.139630	 1.398571, -0.122602
0.022690, -0.122602	 0.040656, -0.122602	 1.275981, -0.105495
0.022772, -0.105495	 0.040828, -0.105495	 1.170499, -0.088364
0.022828, -0.088364	 0.040974, -0.088364	 1.082148, -0.071257
0.023447, -0.071257	 0.041701, -0.071257	 1.011690, 0.063505
0.023544, 0.063505	 0.041728, 0.063505	 1.075208, 0.080667
0.023438, 0.080667	 0.041551, 0.080667	 1.155887, 0.097829
0.023299, 0.097829	 0.041335, 0.097829	 1.253729, 0.114909
0.023135, 0.114909	 0.041092, 0.114909	 1.368650, 0.132000
0.022944, 0.132000	 0.040824, 0.132000	 1.500664, 0.149114
0.022711, 0.149114	 0.040522, 0.149114	 1.649791, 0.166036
0.020676, 0.166036	 0.037943, 0.166036	 1.796618, 0.199421
0.020355, 0.199421	 0.037579, 0.199421	 1.976053, 0.116581
0.019984, 0.116581	 0.037175, 0.116581	 2.072647, 0.033375
0.019738, 0.033375	 0.036896, 0.033375	 2.086035, -0.049876
0.019618, -0.049876	 0.036743, -0.049876	 2.016171, -0.133094
0.019613, -0.133094	 0.036716, -0.133094	 1.863090, -0.216345
0.019736, -0.216345	 0.036817, -0.216345	 1.646758, -0.199329
0.021676, -0.199329	 0.038586, -0.199329	 1.448211, -0.067777
0.021890, -0.067777	 0.038837, -0.067777	 1.380447, -0.050479
0.021898, -0.050479	 0.038880, -0.050479	 1.329981, -0.033857
0.021879, -0.033857	 0.038897, -0.033857	 1.296136, -0.017269
0.021835, -0.017269	 0.038889, -0.017269	 1.278880, -0.000680
0.021753, -0.000680	 0.038872, -0.000680	 1.278212, 0.015872
0.021645, 0.015872	 0.038831, 0.015872	 1.294097, 0.032414
0.020604, 0.032414	 0.038307, 0.032414	 1.327284, 0.162618
0.020436, 0.162618	 0.038261, 0.162618	 1.489915, 0.179443
0.020085, 0.179443	 0.038027, 0.179443	 1.669369, 0.195501
0.019709, 0.195501	 0.037768, 0.195501	 1.844882, 0.111549
0.019316, 0.111549	 0.037497, 0.111549	 1.936443, 0.027675
0.019041, 0.027675	 0.037347, 0.027675	 1.944131, -0.055846
0.018891, -0.055846	 0.037322, -0.055846	 1.868297, -0.139390
0.018694, -0.139390	 0.038117, -0.139390	 1.709680, -0.108970
0.018822, -0.108970	 0.038336, -0.108970	 1.600723, -0.092059
