0.000000, -0.004153	 -0.008279, -0.012378	 -0.016440, -0.020475
-0.107877, -0.107285	 -0.099260, -0.100406	 -0.101613, -0.103349
-0.105113, -0.106875	 -0.108728, -0.105670	 -0.108743, -0.111829
-0.115235, -0.118629	 -0.122007, -0.125206	 -0.128182, -0.131111
-0.133590, -0.136043	 -0.138475, -0.140885	 -0.143003, -0.149052
-0.150361, -0.151320	 -0.152250, -0.153162	 -0.154073, -0.154646
-0.160454, -0.160294	 -0.160023, -0.159743	 -0.159454, -0.159132
-0.158815, -0.162494	 -0.162584, -0.162656	 -0.162720, -0.162788
-0.163319, -0.163839	 -0.167787, -0.168989	 -0.170162, -0.171318
-0.172561, -0.173788	 -0.174996, -0.181218	 -0.181318, -0.181389
-0.181170, -0.180941	 -0.180699, -0.180446	 -0.185102, -0.184285
-0.183434, -0.182659	 -0.181891, -0.181119	 -0.180312, -0.182872
-0.182066, -0.181285	 -0.180503, -0.179717	 -0.179040, -0.178354
-0.179903, -0.179325	 -0.178744, -0.178163	 -0.177582, -0.177025
-0.176469, -0.177359	 -0.176488, -0.175613	 -0.174742, -0.173881
-0.173025, -0.172172	 -0.171738, -0.170973	 -0.170214, -0.169354
-0.168499, -0.167650	 -0.166808, -0.164940	 -0.164118, -0.163305
-0.162634, -0.161970	 -0.161314, -0.160794	 -0.158165, -0.158092
-0.158210, -0.158333	 -0.158459, -0.158589	 -0.158962, -0.157494
-0.158371, -0.159034	 -0.159694, -0.160353	 -0.160877, -0.161399
-0.161581, -0.160888	 -0.160198, -0.159512	 -0.158803, -0.157249
-0.155706, -0.153499	 -0.149720, -0.145968	 -0.142245, -0.138231
-0.134246, -0.130296	 -0.118882, -0.115748	 -0.112610, -0.109407
-0.106921, -0.104470	 -0.102057, -0.088640	 -0.088712, -0.088810
-0.089693, -0.090596	 -0.091523, -0.093141	 -0.085679, -0.088701
-0.092146, -0.095581	 -0.099012, -0.102788	 -0.106551, -0.108330
-0.111588, -0.114821	 -0.118033, -0.120830	 -0.123602, -0.126352
-0.133931, -0.135128	 -0.136276, -0.137400	 -0.137796, -0.138147
-0.138476, -0.145857	 -0.144308, -0.142753	 -0.140921, -0.139069
-0.137214, -0.135284	 -0.137703, -0.135948	 -0.134091, -0.132884
-0.131682, -0.130483	 -0.129930, -0.129669	 -0.130275, -0.131265
-0.132251, -0.133231	 -0.134512, -0.135785	 -0.137871, -0.139586
